Eye Size,Mantle Length,Ratio,Body_Mass
0.14,1.8,0.0778,1721
0.2,2.2,0.0909,1803
0.37,3.4,0.1088,729
0.11,1.5,0.0733,1098
0.14,1.6,0.0875,895
0.19,1.9,0.1000,1083
0.26,2.2,0.1182,1843
0.24,3.4,0.0706,932
0.46,4.2,0.1095,832
0.56,5.1,0.1098,1045
0.22,1.7,0.1294,1822
0.22,2.4,0.0917,2001
0.56,5.6,0.1000,901
0.29,4.2,0.0690,908
0.36,3,0.1200,865
0.11,1,0.1100,1034
0.3,3.3,0.0909,1478
0.24,2.2,0.1091,1324
0.32,3.2,0.1000,1984
0.66,5.1,0.1294,1739
0.19,2.7,0.0704,1394
0.39,5.6,0.0696,699
0.17,1.9,0.0895,932
0.15,1.4,0.1071,872
0.64,5.3,0.1208,1732
0.4,3.6,0.1111,1632
0.52,4.3,0.1209,1490
0.57,5.7,0.1000,1596
0.16,1.2,0.1333,810
0.32,3.6,0.0889,957
0.12,1.1,0.1091,993
0.08,0.6,0.1333,1403
0.09,0.9,0.1000,1620
0.13,1.2,0.1083,1835
0.09,1,0.0900,1734
0.34,2.8,0.1214,923
0.4,3.6,0.1111,1222
0.3,4.3,0.0698,1632
0.24,2.7,0.0889,984
0.2,2,0.1000,899
0.37,4.1,0.0902,1503
