Vial,Well,Sample.Type,Concentration,abs.corr
NA,A1,Standard,2000,2.104666667
NA,A10,Standard,750,1.071666667
NA,A11,Standard,750,1.036666667
NA,A12,Standard,750,1.097666667
NA,A2,Standard,2000,1.917666667
NA,A3,Standard,2000,2.022666667
NA,A4,Standard,1500,1.876666667
NA,A5,Standard,1500,1.809666667
NA,A6,Standard,1500,1.718666667
NA,A7,Standard,1000,1.205666667
NA,A8,Standard,1000,1.195666667
NA,A9,Standard,1000,1.273666667
NA,B1,Standard,500,0.688666667
NA,B10,Standard,25,0.039666667
NA,B11,Standard,25,0.040666667
NA,B12,Standard,25,0.042666667
NA,B2,Standard,500,0.709666667
NA,B3,Standard,500,0.691666667
NA,B4,Standard,250,0.358666667
NA,B5,Standard,250,0.404666667
NA,B6,Standard,250,0.343666667
NA,B7,Standard,125,0.193666667
NA,B8,Standard,125,0.188666667
NA,B9,Standard,125,0.199666667
NA,C1,Blank,0,0.000666667
6,C10,Sample,NA,0.529666667
6,C11,Sample,NA,0.580666667
6,C12,Sample,NA,0.544666667
NA,C2,Blank,0,-0.000333333
NA,C3,Blank,0,-0.000333333
4,C4,Sample,NA,0.556666667
4,C5,Sample,NA,0.556666667
4,C6,Sample,NA,0.583666667
5,C7,Sample,NA,0.617666667
5,C8,Sample,NA,0.528666667
5,C9,Sample,NA,0.572666667
13,D1,Sample,NA,0.645666667
22,D10,Sample,NA,0.614666667
22,D11,Sample,NA,0.637666667
22,D12,Sample,NA,0.661666667
13,D2,Sample,NA,0.666666667
13,D3,Sample,NA,0.670666667
14,D4,Sample,NA,0.664666667
14,D5,Sample,NA,0.692666667
14,D6,Sample,NA,0.668666667
15,D7,Sample,NA,0.657666667
15,D8,Sample,NA,0.658666667
15,D9,Sample,NA,0.697666667
23,E1,Sample,NA,0.619666667
32,E10,Sample,NA,0.337666667
32,E11,Sample,NA,0.438666667
32,E12,Sample,NA,0.390666667
23,E2,Sample,NA,0.655666667
23,E3,Sample,NA,0.712666667
24,E4,Sample,NA,0.579666667
24,E5,Sample,NA,0.770666667
24,E6,Sample,NA,0.750666667
31,E7,Sample,NA,0.379666667
31,E8,Sample,NA,0.378666667
31,E9,Sample,NA,0.376666667
33,F1,Sample,NA,0.346666667
42,F10,Sample,NA,0.604666667
42,F11,Sample,NA,0.529666667
42,F12,Sample,NA,0.668666667
33,F2,Sample,NA,0.443666667
33,F3,Sample,NA,0.413666667
40,F4,Sample,NA,0.689666667
40,F5,Sample,NA,0.687666667
40,F6,Sample,NA,0.680666667
41,F7,Sample,NA,0.659666667
41,F8,Sample,NA,0.668666667
41,F9,Sample,NA,0.688666667
49,G1,Sample,NA,0.762666667
58,G10,Sample,NA,0.632666667
58,G11,Sample,NA,0.659666667
58,G12,Sample,NA,0.605666667
49,G2,Sample,NA,0.822666667
49,G3,Sample,NA,0.752666667
50,G4,Sample,NA,0.810666667
50,G5,Sample,NA,0.806666667
50,G6,Sample,NA,0.798666667
51,G7,Sample,NA,0.722666667
51,G8,Sample,NA,0.766666667
51,G9,Sample,NA,0.744666667
59,H1,Sample,NA,0.662666667
68,H10,Sample,NA,0.524666667
68,H11,Sample,NA,0.560666667
68,H12,Sample,NA,0.547666667
59,H2,Sample,NA,0.585666667
59,H3,Sample,NA,0.679666667
60,H4,Sample,NA,0.648666667
60,H5,Sample,NA,0.583666667
60,H6,Sample,NA,0.696666667
67,H7,Sample,NA,0.561666667
67,H8,Sample,NA,0.610666667
67,H9,Sample,NA,0.608666667
